company,slogan
"Tropicana Pure Premium, orange and grapefruit juice",Tropicana's got the taste that shows on your face.
"Tropicana Pure Premium, orange and grapefruit juice","Specially made for healthy bodies, healthy lives, healthy kids"
"Nantucket Nectars, juices and juice cocktails",Nantucket Nectars. We're juice guys.
"Festa Juice for home winemakers, Canada",Festa. Juice for great wine.
"Ocean Spray brand, juices and juice drinks",Ocean Spray. Crave the wave.
"Ocean Spray brand, juices and juice drinks",There's definitely something in it
Robinsons High Juice squash,Makes water more interesting.
"Minute Maid, family of juices and juice drinks",Light on Calories. Loaded with Taste.
"Typhoo, brand of tea in the United Kingdom",Typhoo puts the T in Britain.
"Bell tea, New Zealand",Works wonders.
"Zealong tea, New Zealand",100% pure New Zealand tea.
Nambarrie tea,Nambarrie. Nice and strong.
Ahmad tea,Ahmad. The world's most exclusive tea.
"Tea Forte, gourmet whole leaf teas",The exceptional tea experience.
Tazo teas,Tazo. Artfully blended.
Tazo teas,It begins with tea.
"Rooibee Red Tea, bottled tea",Wellbeing in a bottle.
"100Plus, brand of isotonic sports drink",Outdo yourself.
Pickle Juice Sport,Stop muscle cramps.
"SOS Rehydrate, electrolyte replacement drink",Doctor formulated hydration drink mix.
Innocent fresh fruit smoothies,Innocent. Little tasty drinks.
"Woodhaven Campground in Sorrento, Canada",Where nature and relaxation meet.
"Haven, operator of caravan holiday parks in England",Britain's favourite seaside holiday.
Desert View RV resort in Needles,A lifetime of happiness at this beautiful oasis!
"Outdoor Resort, RV resort & country club near Palm Springs",Have a nice stay!
Shadow Hills RV resort in California,Come for the weather... Stay for the experience.
Meadowcliff Lodge & RV Resort,The jewel of California's Eastern Sierras.
Meadowcliff Lodge & RV Resort,You've always thought about stopping.
Edgewater Resort & RV Park on Clear Lake in California,Where the only thing we overlook is the lake.
Susanville RV Park,Where you will always feel at home.
"Capitol West, RV & mobile home park near Sacramento",The Sacramento area's neatest place to stay.
Happy Trails Campground & Cabins,The trail leads here...
Wayside Campground in Nova Scotia,A nice quiet place to stay.
"Beachcomber Holiday Park, campground and cabin accommodation",You'll want to stay forever.
Kritter's Northcountry Campground & Cabins in Newberry,Put yourselves in our place!
Kelling Heath Holiday Park for touring and camping holidays,The natural escape.
Twin Grove RV Resort & Cottages,We are family fun!
"Seabreeze Campground and Cottages, Fox Island, Canada",Wind down to the ocean's edge.
"Seabreeze Campground and Cottages, Fox Island, Canada",Come and watch the whales!
Paul Bunyan Campground in Bangor,A country oasis within the city.
"Catskill Adventure Resort, camping in the Catskill Mountains",A place for family & friends.
"Ye Olde Cutter Camp, housekeeping cottages, campground and trailer park in Burks Falls",Where tranquility and nature meet.
Hickory Hills Campground in Edgerton,Taking life slow & easy.
Kilby Lake Campground in Wisconsin,Exactly what you're looking for!
Old Cedar Campground,Relax and enjoy life!
Rusnik Family Campground in Salisbury,We're not like the rest...
"South West Rocks, Tourist Park in Australia","The memories are yours, the pleasure's ours..."
Bear Mountain Rustic Campground in New Hampshire,Home for the tent camping enthusiasts.
"Rock Shadows, RV park in Arizona",Arizona's friendliest RV resort.
Picacho Peak RV resort,Hospitality as warm as the Arizona sun!
Hacienda RV & Rally Resort in New Mexico,Where friends come together!
Vineyard RV Park in California,"Where the road ends, the Vineyard begins."
Bakersfield RV Travel Park,Relax in the sunshine of the west.
Olema Campground,A fun campground for an outdoor adventure.
Olema Campground,A peaceful retreat or an outdoor adventure.
Anaheim Harbor RV Park,Nobody's closer to the magic.
Tumble Hill Campground & RV Park,A peaceful haven in the woods.
Mountain Village RV Park in Etna,Your life deserves a place like this to relax.
"Adventure Trail Campground with tent, RV sites and rental cabins",A true family campground.
"Canvas Holidays, tour operator for package camping holidays, UK",It's the best fun hard work can be!
"Canvas Holidays, tour operator for package camping holidays, UK",It's the best fun work can be!
"Canvas Holidays, tour operator for package camping holidays, UK",Europe's camping connoisseurs.
Fort Steele Campground in Cranbrook,Where only the good people stay!
Sikanni River Campground & RV Park,Truly a camper's paradise.
Quail Crossing RV Park in Texas,Heart of Texas hospitality.
Canyon RV Park near Anaheim,Where memories are made.
"East View RV Ranch in Georgetown, Texas",America's first RV... We've come a long way.
Texas RV Park of Big Springs,Your RV oasis in West Texas.
North River Campground in North Carolina,Clean & friendly!
"Kilkivan Bush Camping Park in Australia, known for it’s birds",Wake up to the dawn chorus.
"Durras Lake North Holiday Park, offers cabins and campsites",Shhh! It's a secret!
Holiday Motel & RV Resort in Hope,Where one day is never enough!
Baker’s Acres Campground,Where friends are made for life.
Lake Champagne Campground in Vermont,The champagne of campgrounds.
The Pines Campground in Ashby,"We're small, but cute!"
Ballina Lakeside Holiday Park in Australia,Where the river meets the sea.
S.Callan Advertising Company in New York,We think independent.
Yamamoto Ad Agency in Minneapolis,Inspired ideas that sell.
"Grasshoppers, creative ad agency in Delhi",Take you on a high!
Scribble Creative Group,Great ideas start with a Scribble.
RPM creative agency in London,Ideas people want to spend time with.
"Lookad, advertising agency in Kolkata",Driven by idea.
"Lookad, advertising agency in Kolkata",Simplicity. The biggest idea at Lookad.
Crawford's Advertising Agency,Creators of famous advertising.
Averkiev Advertising Agency in Russia,Part of your success.
"Seed Factory, Atlanta",Brand builders & storytellers.
"MNI, media planning and buying agency",Targeted ads. National mags.
MediaCom Media Agency,"People first, better results."
MediaCom Media Agency,Closer to clients.
"Access to Media, advertising and media buying agency",Creative solutions. Real results.
"AAF, American Advertising Federation",Unifying voice for advertising.
"AAF, American Advertising Federation / popularization of advertising",Advertising. Without it you wouldn't know.
Advertising Standards Authority in the UK,Keeping advertising standards high.
"Economy Advertising, distributor of promotional products",The right idea at the right price.
"Shads Advertising Co, promotional products and corporate gifts","Your brand, promoted."
"Brucelli Advertising Company, promotional products, business gifts",Branding it better!
Ashby Street Outdoor,Take your advertising to the street.
Scheck Outdoor Advertising,We turn heads.
"Clear Channel Outdoor, worldwide outdoor advertising company",We're thinking big.
"Clear Channel Outdoor, worldwide outdoor advertising company",Tell a bigger story.
"Clear Channel Outdoor, worldwide outdoor advertising company",The only limit is your imagination.
"Lind Media Company, billboard advertising",Excellence in outdoor advertising.
"Beech Outdoor Advertising, billboard firm in Florida",Your ad. 40 million visitors.
"American Outdoor Advertising, billboard company",Soaring above the rest to provide the best.
"Pelican Outdoor Advertising, billboard company",Need some space?
Boardworks Outdoor Advertising Company,Let outdoor advertising work for you.
Boardworks Outdoor Advertising Company,Biggest. Brightest. Best. Boardworks!
"Ad Art Sign Company, electrical and architectural signage",Brilliance is our business.
Schubert & Hoey Outdoor Advertising in Minneapolis,A business without a sign is a sign of no business.
"AmaWaterways, river cruise line",Leading the way in river cruising.
"Fantasy Cruises, cruise agency in Upland, California",You haven't lived until you've cruised.
"Royal Caribbean International, cruise line",Way more than a cruise.
"Royal Caribbean International, cruise line",This is way more than a cruise.
"Hornblower Cruises & Events, dinner, harbor & wedding cruises, yacht charters in the USA",Between the sea and the sky.
"Newport Majestic Cruises, dinner cruises",Experience the magic onboard.
Ship-To-Shore Cruise Agency,The right cruise at the right price.
"Cunard, cruise company, luxury cruise vacations",The most famous ocean liners in the world.
"Cunard, cruise company, luxury cruise vacations",Tradition is back in style.
"Costa Cruises, Italian cruise line",Cruising Italian style.
"Costa Cruises, Italian cruise line",Cruising Italian style. That's amore.
"Ocean Village, cruise line",The cruise for people who don't do cruises.
"Festival Cruises, Greece-based cruise line that operated between 1994 and 2004",The language of enjoyment.
"Festival Cruises, Greece-based cruise line that operated between 1994 and 2004","Feel like a person, not a passenger."
Fred. Olsen Cruise Lines,It's all about the people.
Fred. Olsen Cruise Lines,At home the world over.
"NCL, Norwegian Cruise Line (earlier - Norwegian Caribbean Line)",Freestyle cruising.
"NCL, Norwegian Cruise Line (earlier - Norwegian Caribbean Line)",Where you are free of whatever.
"Hurtigruten, Norwegian cruises",A different kind of cruise.
"Hurtigruten, Norwegian cruises",The world's most beautiful voyage.
"Azamara Club Cruises, small luxury cruise line",You'll love where we take you.
"Ecruising, Australia's cruise travel agency",We've cruised everywhere...
"Crystal Cruises, luxury cruise line",The difference is Crystal clear.
"Regent Seven Seas Cruises, formerly known as Radisson Seven Seas Cruises",Luxury goes exploring.
"Regent Seven Seas Cruises, formerly known as Radisson Seven Seas Cruises",The true value of luxury.
Chandris Cruises,We put the romance back into cruising.
"Celebrity Cruises, cruise line",Designed for you.
"Celebrity Cruises, cruise line",The Celebrity treatment.
"Giant Creative Strategy, pharmaceutical advertising agency",Don't think big. Think Giant.
"Brandspa, advertising agency in New Jersey",Cultivating market leadership from the inside out.
Screamer Co.,Find your brand's voice.
"Michael Walters, advertising agency in Chicago",Creating. Results.
Heard Agency,"Working together, to create something younique."
"Phoenix Group, advertising agency in Regina",Good thinking.
"Phoenix Group, advertising agency in Regina",A place where ideas grow.
Millennium Advertising Agency in India,Creative solutions to improve your business!
"HIP Advertising, agency in Illinois",Creative juices are flowing.
Triangle Inc. Advertising Agency in Palestine,Brilliant minds.
ASO Advertising in Atlanta,Putting you & yours together.
Krisp Advertising Agency,Branding. Advertising. Ideas.
Krisp Advertising Agency,An ad agency bent on simplicity.
"Bishopp, outdoor advertising company in Queensland",We've got Queensland covered.
"Apple Outdoor, billboard advertising company",We have you covered.
"Stellar, billboard company in Toronto",Say something Stellar.
"Stellar, billboard company in Toronto",Think bigger.
Franklin Outdoor Advertising,We'll get your attention!
"Tayco, outdoor advertising services in Queensland",Drive your sales with billboard & airport advertising!
Billboards Australia,Think big.
Bullfrog Outdoor Advertising in Fort Wayne,Let your advertising blossom.
Catalyst Outdoor Advertising,Media that matters.
"JCDecaux OneWorld, international outdoor advertising",Your world connected.
"Pitch In, outdoor advertising specialists",Make your pitch... perfect.
"PML, outdoor advertising in Northern Ireland",The out of home media specialist.
Anderson Outdoor Advertising,Florida outdoor advertising with maximum reach.
"Coral Princess Cruises, small ship and expedition cruise line in Australia",Dream. Explore. Discover.
"Variety Cruises, small ships cruise company",Small ships. Great cruises!
"Variety Cruises, small ships cruise company",The yacht cruise experience.
Anchors Away Cruise Agency,Your dreams... From sea to shore!
Anchors Away Cruise Agency,Where your dreams become reality.
"Royal Viking Line, cruise holidays",World wide cruising. World class style.
Tallinn Backpackers,Tallinn's best hangout.
Lagan Backpackers,The friendliest hostel in Belfast.
"Tasman Bay Backpackers in Nelson, NZ",Its the small things that make us different.
The Blue Parrot Backpackers in Sydney,In the heart of the city!
Hoffmanns Hostel in Berlin,The backpacker's choice.
Quadra Island Boutique Hostel,Oceans away from the everyday.
"Cheers Hostel in Istanbul, Turkey",Fantastic view from our rooftop bar.
The Tropics Hotel and Hostel in Miami Beach,The sun in Miami Beach.
Giraffe Hostel & Bar in Krakow,Go wild in Krakow.
Juneau International Youth Hostel,A place for travellers.
Hostel Uptown in Amsterdam,Your place to sleep in Amsterdam.
Hostel Uptown in Amsterdam,"Share, love & comeback."
Mountain Hostel in Switzerland,High in the Alps.
Hostel Lybeer in Bruges,The greatest hostel in town!
Hotel Hotel Hostel in Seattle,Small hostel. Big flavor.
"Lucky Lake Hostel, Amsterdam",It may be just the place for you!
Mitraa Hostels in Singapore,Mitraa means friend.
Inn Berlin,Where guests are treated like friends.
"Bob’s Bunk House, hostel and guest house in Johannesburg",A home for travellers and backpackers.
Jib Strategic Inc.,We develop big ideas that sell.
"Plan B, advertising agency in Chicago",The agency alternative.
"London, international advertising agency",One brilliant idea for every client.
Agency 42 in Sydney,"The answer to ads, commercials and everything..."
"Bashful, creative advertising agency",Ideas that provoke.
"Belgiovane Williams Mackay, creative agency",Ideas that get Australians talking.
"Jan Kelley, advertising and communications agency",We aren't afraid to be different.
"Starburst Creative, agency in Edmonton","We make smart, good-looking things."
"WAA, marketing and advertising agency in Birmingham",The business creation agency.
"The Hallway, independent advertising agency in Sydney",Affective ideas. Since always.
The Fold,A 21st century advertising agency.
Comrade Hostel in Moscow,"Once you find us, you will never want to leave."
Chelsea Hostel in New York,"Where there are no strangers, just friends you have not met yet."
Aakaram Advertising Agency,Immortalizing ideas.
Hatch Advertising Agency in Canada,Prepare for your transformation.
Laxmi Advertising Agency in Mumbai,Creative solutions to improve your business.
"Star Cruises, cruise line",The leading cruise line in Asia-Pacific.
"Star Cruises, cruise line",The first global cruise line.
"Windstar Cruises, cruise ship line",180º from ordinary.
"P&O Cruises, cruise company",Discover a different world...
"P&O Cruises, cruise company",Every day is different.
Paul Gauguin Cruises,To the soul of the South seas.
"Swan Hellenic, British cruise line specialising in historical & cultural ship cruises",Discoveries of a lifetime.
"Swan Hellenic, British cruise line specialising in historical & cultural ship cruises",Never dry.
"Princess Cruises, British-American cruise line, based in the United States",Escape completely.
"Princess Cruises, British-American cruise line, based in the United States",Your dream holiday is now closer than you think.
"Oceania Cruises, luxury cruise line",Your world. Your way.
US River Cruises from American Cruise Lines,Small ship cruising done perfectly.
"KD (Köln-Düsseldorfer), operator of river cruises on the Rhine, Germany",Welcome on board.
"Liverpool Cruise Club, cruise agency in the UK",All cruises. All dates. All departures.
"Liverpool Cruise Club, cruise agency in the UK",All cruise lines. All dates. All discounted.
"Louis Cruises (formerly Louis Cruise Lines), Cyprus-based cruise line",Leaders in great value cruises.
"MSC Cruises, Italian cruise company",The Mediterranean way of life.
"MSC Cruises, Italian cruise company",The most modern fleet in the world.
"Uniworld, luxury river cruise company",The value of experience.
Viking River Cruises,Exploring the world in comfort.
"Avalon Waterways, river cruise line",A river cruise unlike any other.
"Avalon Waterways, river cruise line","From here, it's another world."
"1st4cruising.com, online cruise holiday agent, UK","Savings on every ship, cabin & cruise!"
"Cruise.co.uk, online cruise agent",The UK cruise discount warehouse.
"Cruise Specialists, luxury cruise agency",Dedicated to luxury travel.
"Cruise Specialists, luxury cruise agency",Dedicated to luxury cruising.
"CruiseDeals, UK, cruise retailer, part of Thomson",The one stop cruise shop.
"CruiseDeals.com, USA, online seller of cruise vacations, discount and last minute cruise deals",Better prices. Exceptional people.
"CruiseCheap.com, online cruise travel agency","Cruise smart, cruise cheap!"
"Cumbria Cruises, cruise agent, UK",We live it. You'll love it.
"Cruise Holidays of Topeka, cruise travel agent",Experts at land and sea.
"Cruise Holidays of Topeka, cruise travel agent",Relax... You're with us! We make it simple.
"The Sovereign Cruise Club, the UK's luxury cruise agent",The luxury cruise experts.
Power Horse Energy Drinks,Free your energy. Be your best.
Power Horse Energy Drinks,Take it on.
Sting Energy Drink,Extreme energy. Ultimate taste.
5 Hour Energy Shots,Now is the time for 5 Hour Energy.
5 Hour Energy Shots,Hours and hours of energy.
Power Play Energy Drink,Play outside the ordinary.
Lucozade Energy Drink,Fuelling the good times.
Lucozade Energy Drink,Find your flow.
Lucozade Energy Drink,Powered by glucose.
Lucozade Energy Drink,The Lucozade within.
Lucozade Energy Drink,But the force continues.
"V Energy, brand in Australia and New Zealand",The massive hit that improves you a bit.
"V Energy, brand in Australia and New Zealand",It all starts with V.
Full Throttle Energy Drink,Hard working. Easy drinking.
Full Throttle Energy Drink,Go Full Throttle or go home.
Full Throttle Energy Drink,Feel the energy at work.
Redline Energy Drink,The ultimate energy rush!
Red Bull Energy Drink,Red Bull gives you wings.
Red Bull Energy Drink,No Red Bull. No wings.
Red Bull Energy Drink,Red Bull. Vitalizes body and mind.
Red Devil,The taste of energy!
"Truc de Fou, brand in France",Truc de Fou. La French energy.
Folgers coffee,The best part of wakin' up.
Folgers coffee,The best part of wakin' up... is Folgers in your cup.
"Gevalia, premium gourmet coffee",Let's coffee.
"Gevalia, premium gourmet coffee",Experience love at first sip.
Maxwell House coffee,Say good morning to a good day.
Maxwell House coffee,Maxwell House. Good to the last drop!
Maxwell House coffee,Your sweet new getaway is just a sip away.
Maxwell House coffee,It's a new morning. Brew some good.
Douwe Egberts coffee,No ordinary jar. No ordinary coffee.
Douwe Egberts coffee,Douwe Egberts. The coffee category expert.
Douwe Egberts coffee,Douwe Egberts. Make it a real good time.
"Eight O'Clock, coffee beans & ground coffee",For those who put coffee first.
"Sprite, carbonated soft drink",Sprite. Obey Your Thirst.
"Mountain Dew brand, carbonated drink",Do the Dew.
"Shloer, sparkling fruit drinks",Shloer. The Grown-Up soft drink.
Sierra Mist carbonated soft drink,It's that refreshing.
Fanta brand,"Drink Fanta, stay Bamboocha."
7 Up lemonade,7-Up. Now 100% Natural.
Diet Coke (also called Coca-Cola light in some countries),Create your own Diet Coke break.
Diet Coke (also called Coca-Cola light in some countries),Light it up!
"Pepsi Max, a low-calorie, sugar-free cola",Max your life.
Burn Energy Drink,Fire to drink.
Burn Energy Drink,What do you burn for?
"Tiger Energy Drink, Poland",Power is back!
"Tiger Energy Drink, USA",Untamed energy.
Wild Dragon,Be wild.
Wild Dragon,No limit.
Wild Dragon,Enjoy the power.
AMP Energy,"Energy you need, flavors you crave."
AMP Energy,AMP yourself.
AMP Energy,Mmmm. Energy.
Verve,Insanely healthy energy.
Pit Bull Energy Drink,Attitude in a can.
Fundador Brandy brand,"When you want brandy, you say Fundador."
"Kuemmerling, the German herbal bitters brand",Kuemmerling. Welcome to the community.
"Aquafina, brand of purified bottled water",Aquafina. The purest part of you.
"Aquafina, brand of purified bottled water",Make your body happy.
"Aquafina, brand of purified bottled water",Aquafina. Purity guaranteed.
"Volvic natural mineral water, France",Volvic. Are you up to the challenge?
"Volvic natural mineral water, France",Filled with volcanicity.
"Volvic natural mineral water, France",Volvic. Created by volcanoes.
Dasani purified bottled water,Designed to make a difference.
Dasani purified bottled water,The water that makes your mouth water.
Dasani purified bottled water,Can't live without Dasani.
"San Pellegrino, Italian mineral water",S. Pellegrino. Live in Italian.
"San Pellegrino, Italian mineral water",At homes in Italy and around the world.
Evian mineral water,Evian. Live young.
"Eight O'Clock, coffee beans & ground coffee",Wake up. It's Eight O'Clock.
"Bru, coffee trademark in India",Happiness begins with Bru.
"Carte Noire, French coffee brand",For a more seductive coffee break.
"Carte Noire, French coffee brand",Carte Noire. French for coffee.
"Tchibo, German brand of instant coffee",A new experience every week.
"Tchibo, German brand of instant coffee",Passionate about coffee.
"Tchibo, German brand of instant coffee",Tchibo. Awaken the senses.
"Tchibo, German brand of instant coffee",Give the best.
Taylors of Harrogate coffee,Home of the world's finest coffees.
"Arvid Nordquist Classic, ground coffee, Sweden",Imagine what a bit of Classic can do.
"Puro coffee, Belgium",Make yourself more useful. Have a coffee break.
"Melitta, German brand of coffee, coffee filter paper and coffee makers",The flavor of Europe in every cup.
"Melitta, German brand of coffee, coffee filter paper and coffee makers","When it's time for me, it's time for Melitta."
"Melitta, German brand of coffee, coffee filter paper and coffee makers",Coffee indulgence.
"Rombouts, fresh ground coffee",Real coffee for people with an instant lifestyle.
"Rombouts, fresh ground coffee","Whichever way you choose, choose Rombouts."
"Kimbo, Italian brand of coffee",Kimbo… you won't forget it.
"Nabob coffee, Canada",Respect the bean.
TaB Energy,Fuel to be fabulous.
"BPM Energy Drink, Ireland",Liquid asset.
"BPM Energy Drink, Ireland",Energy for living.
"Lift Plus, New Zealand",Sharpen up.
Livita Energy Drink,Gets you going!
Go Fast!,Fast things for fast people.
"Revo Energy, Ukrainian brand",One shot - one hit.
XS Energy Drink,Premium energy. Explosive taste.
Paul Masson Wines,Paul Masson. We will sell no wine before its time.
"Aspect Invest Vin, trademark of Moldavian wines",Talk is good when wine is fine!
"Kendall-Jackson wines, United States",Kendall-Jackson. A Taste of the Truth
"Redwood Creek, Californian wine",Satisfy your taste for Adventure!
"Redwood Creek, Californian wine",Redwood Creek. Good things take time
Ernest & Julio Gallo wines,California. The new art of wine
Ernest & Julio Gallo wines,E.&J. Gallo. Everything we know is everything you taste
Turning Leaf wine brand (E.&J. Gallo Winery),Turning Leaf. Handcrafted for Perfect Moments
"Luna Di Luna, the original wine blend, USA",Luna Di Luna. Get Some
The Washington Wine Commission,Washington state - the perfect climate for wine
"Arbor Mist , US wine brand",Can't Resist the Mist!
"Arbor Mist , US wine brand",Great Tasting Wine with a Splash of Fruit
"Arbor Mist , US wine brand",Just what you've been looking for.
"Sutter Home Wines, California, USA",Sutter Home Wines. Life uncomplicated
"Sutter Home Wines, California, USA",Way too focused on the wine
"Sutter Home Wines, California, USA",Taste the Commitment
"Sutter Home Wines, California, USA",They don't need food to make sense.
Wine Market Council of California campaign,Wine. What are you saving it for?
Wine Market Council of California campaign,Wine. Since 6000 B.C.
Clos du Bois wines,Clos du Bois. All the French you need to know
"Angostura brand, bitters",Angostura. You've got a taste.
Evian mineral water,The secret is in the Alps.
Evian mineral water,Detox with Evian.
Evian mineral water,Your natural source of youth.
"Naya, Canadian natural spring water",Hungry for life. Thirsty for Naya.
"Mangiatorella still and sparkling mineral water, Italy",Forever young.
Speyside Glenlivet still and sparkling mineral water,Speyside Glenlivet. The height of good taste.
"Donat Mg, mineral water from Slovenia",Donat Mg. More than magnesium.
"Le Bleu, ultra pure bottled water",My body loves Le Bleu.
Ashe Park mineral water,Ashe Park. Clear sign of a great restaurant.
"Acqua Panna, Italian brand of bottled water",A water that belongs on the wine list.
"Lauretana low mineralized water, Italy",Lauretana. The lightest water in Europe.
"Pedras Salgadas, naturally carbonated mineral water from Portugal",Pedras. An unforgettable experience.
Selters natural mineral water from Germany,Original Selters. The source of good taste.
"Nabob coffee, Canada",Better beans. Better coffee. Better planet.
Clos du Bois wines,Rich as Life
"Magnotta Winery wines, Canada",Magnotta. The Award Winning Winery
"Fetzer Vineyards and brand, USA",Fetzer. From the earth to the table
"Fetzer Vineyards and brand, USA",True to Our Roots
"Woodbridge Winery and wine brand, California",Woodbridge. Taste our small winery tradition.
"Woodbridge Winery and wine brand, California",All You Need to Know About Great Wine
Santa Margherita Italian brand,Great Wines for Great Encounters.
Santa Margherita Italian brand,Santa Margherita. Wines for Momentous Encounters
Louis Roederer Champagne,Louis Roederer. Without compromise.
Callaway Coastal California's wines,Coastal Standard Time.
"J. Garcia wines, California",J. Garcia. The Art of Wine.
Jimmy's iced coffee,Keep your chin up!
Dare iced coffee,"When your place is all over the head, a Dare fix’ll fix it."
Dare iced coffee,"Wake up, brain."
Dare iced coffee,The coffee moment without the moment.
McDonalds iced coffee,Brrr.Mmmm.
"Farmers Union iced coffee, Australia",It's a Farmers Union Iced Coffee or it's nothing.
Nescafe iced coffee,Stay ice sharp.
Nescafe iced coffee,Nescafe Ice. It's a state of mind.
Iced Afro Coffee,Sweet for the ladies. Strong for the men.
Barista Bros. iced coffee,Approved by those who know.
Starbucks iced coffee,Good to go.
"Starbucks Doubleshot, coffee drinks",Bring on the day.
"Starbucks Frappuccino, frozen blended coffee drink",Treat yourself and a friend to a cool Frappuccino.
"Starbucks Frappuccino, frozen blended coffee drink",Work can wait.
"Camp Coffee, Scottish coffee drink",Camp for people who please themselves.
"Camp Coffee, Scottish coffee drink",Ready aye ready.
"D7 canned ice coffee, Thailand",Wake up Thailand.
Blue Donkey iced coffee,Blue Donkey. Yea. It's that good.
International Delight iced coffee brand,Have a delightful day.
Ice Break brand,Real coffee. Ice cold. Bring it on.
"Celestial Seasonings, brand of herbal and green tea in the USA",Celestial Seasonings. 100% natural teas.
"Celestial Seasonings, brand of herbal and green tea in the USA",Make any moment Celestial.
"Celestial Seasonings, brand of herbal and green tea in the USA",Tea doesn't have to be boring.
"Celestial Seasonings, brand of herbal and green tea in the USA",All natural. No caffeine.
Yogi tea,How good can you feel?
Yogi tea,Discover the delicious side of well-being.
Dr Stuart's herbal and fruit teas,Extraordinarily good teas.
Dr Stuart's herbal and fruit teas,There's a better you inside.
"Kokoro green & herbal teas, Singapore",Keep heart delight.
Qi organic green and white tea,Balance and harmony for body and mind.
Salada green tea,A healthy taste for life since 1892.
"Gryphon Chamomile Dream, caffeine-free tea",Can't sleep?
Numi Organic Tea,"Celebrating people, planet, and pure tea."
"Lyons tea brand, Ireland","Quality tea, now we're talking."
"Lyons tea brand, Ireland",Puts the talk into tea.
"Lyons tea brand, Ireland",Because there's life there's Lyons.
PG Tips tea in the United Kingdom,"You, me and a cuppa PG."
PG Tips tea in the United Kingdom,PG Tips. It’s the taste.
PG Tips tea in the United Kingdom,Do your bit - put the kettle on.
PG Tips tea in the United Kingdom,Put the kettle on.
PG Tips tea in the United Kingdom,We all need a PG moment.
"Kericho Gold, Kenyan tea",A matter of good taste.
"BOH tea, Malaysia",Share the Ummph!
"Dilmah Ceylon tea, Sri Lanka",Fresh from our tea gardens to your cup.
"Dilmah Ceylon tea, Sri Lanka",Dilmah. The finest tea on earth.
"Dilmah Ceylon tea, Sri Lanka",The tea with more ahhhh.
Basilur Ceylon tea,Basilur. Magic story.
"Goodricke tea, India",The tea people.
"Goodricke tea, India",Wake up to a fresh feeling.
"Wagh Bakri tea, India",Building relationships.
Clipper teas,"Natural, fair & delicious."
Clipper teas,Say hello to Clipper Green Tea.
Clipper teas,Britain's favourite green tea.
"Kusmi, French tea brand",Kusmi. The beauty of blends.
"Teadirect, tea brand in the UK",A decent cup of tea.
"Upton Tea Imports, American company that sells specialty teas",Purveyor of the world's finest teas.
"Tavalon, tea company that sells premium teas and tea products",Tavalon. The future of tea.
"Two Leaves and a Bud Tea Company, manufacturer and distributor of organic tea",We take tea personally.
"Teavana, tea and tea accessory retailer",A heaven of tea.
Alveus tea wholesaler,Creates your premium tea.
Alveus tea wholesaler,Source of daily wellbeing.
"Rakhmet Royal Tea, Kazakhstan",Discover a new destination every day.
Good Earth tea,From the fields of five continents. Individually wrapped for freshness.
Imperial Blend tea,A tea to bewitch your afternoons.
"Barry's tea brand, Ireland",Every day should have its golden moments.
Victorian tea trademark,It's romance... of a different kind.
Victorian tea trademark,Happy to come home.
Tea Board of India / advertising campaign of Indian tea,India tea. World's gold standard.
Twinings tea,Twinings. Gets you back to you.
Twinings tea,All natural. Is yours?
Twinings Pure Camomile herbal tea,Blended to make every day a little better.
"Red Rose Tea, Canada",Enjoyed for generations.
"Red Rose Tea, Canada",Savor life's moments.
"Red Rose Tea, Canada",Red Rose Tea is good tea.
Brooke Bond tea,Cheers your senses.
Brooke Bond D tea,It makes you feel human again.
Brooke Bond D tea,D the most refreshing T.
Varieties of Brooke Bond tea,Brooke Bond Scottish Blend. More flavour than our old bag.
Varieties of Brooke Bond tea,Brooke Bond Choicest Blend. You won't find a finer tea.
Freshpak tea,Feels so good.
Freshpak tea,When you know what's good for you.
Smirnoff vodka,Clearly Smirnoff.
Smirnoff vodka,Smirnoff. Not the usual.
Smirnoff vodka,He's clearly discovered Smirnoff.
Smirnoff vodka,Pure perfection.
Smirnoff vodka,Pure Thrill.
Smirnoff vodka,There`s vodka and then there`s Smirnoff.
Smirnoff vodka,The greatest name in Vodka.
Stolichnaya vodka,Stoli. Freedom Of Vodka.
Wyborowa Vodka,Wyborowa. Exquisite wodka.
Wyborowa Vodka,Enjoyed for centuries straight.
"Gzhelka, Russian vodka",Take me!
"Gorbatschow wodka, German brand",Gorbatschow. The pure spirit of vodka.
"Boru, Irish brand",Boru. The Purest Expression of Vodka.
"Romanov vodka, India",Romanov. As you like it.
"Absolut Raspberri, swedish raspberry vodka",Unleash the Raspberry!
"Grey Goose Vodka, France",Grey Goose. The world's best tasting vodka.
Blavod black vodka,Blavod. Outrageously Smooth.
Artic Vodka,Artic. 40° from pure wheat.
"Artic Frutta, a combination of vodka and fruit juice",Break the ice.
"The Glenlivet, malt whisky brand",The Glenlivet. One place. One whisky.
Black Velvet Canadian Whiskey,Feel the Velvet.
The Macallan Single Highland Malt Scotch Whisky,The Macallan. The great Single Malt
The Macallan Single Highland Malt Scotch Whisky,The sweet smell of success.
Johnnie Walker brand,Johnnie Walker. Keep Walking
Johnnie Walker brand,The very finest Scotch Whisky of a great age.
Johnnie Walker brand,"If you want to impress someone, put him on your Black list"
Jameson Irish Whiskey,Jameson Irish Whiskey. What's the Rush?
Jameson Irish Whiskey,The spirit of Ireland.
Jameson Irish Whiskey,Not a drop is sold till it's seven years old
